Index,Code,Type,Order,Value,Cash,Point,Text
154,211005,21,1,5,1400,7000,중거리슛 + 5
155,211008,21,2,8,2000,10000,중거리슛 + 8
156,220001,22,0,1,200,1000,키핑 + 1
157,220002,22,1,2,400,2000,키핑 + 2
158,220003,22,2,3,600,3000,키핑 + 3
159,220004,22,3,4,800,4000,키핑 + 4
160,220005,22,4,5,1000,5000,키핑 + 5
161,220006,22,5,6,1200,6000,키핑 + 6
162,220007,22,6,7,1400,7000,키핑 + 7
163,220008,22,7,8,1600,8000,키핑 + 8
164,220009,22,8,9,1800,9000,키핑 + 9
165,220010,22,9,10,2000,10000,키핑 + 10
166,221002,22,0,2,600,3000,키핑 + 2
167,221005,22,1,5,1400,7000,키핑 + 5
168,221008,22,2,8,2000,10000,키핑 + 8
169,230001,23,0,1,200,1000,스틸 + 1
170,230002,23,1,2,400,2000,스틸 + 2
171,230003,23,2,3,600,3000,스틸 + 3
172,230004,23,3,4,800,4000,스틸 + 4
173,230005,23,4,5,1000,5000,스틸 + 5
174,230006,23,5,6,1200,6000,스틸 + 6
175,230007,23,6,7,1400,7000,스틸 + 7
176,230008,23,7,8,1600,8000,스틸 + 8
177,230009,23,8,9,1800,9000,스틸 + 9
178,230010,23,9,10,2000,10000,스틸 + 10
179,231002,23,0,2,600,3000,스틸 + 2
180,231005,23,1,5,1400,7000,스틸 + 5
181,231008,23,2,8,2000,10000,스틸 + 8
182,240001,24,0,1,200,1000,태클 + 1
183,240002,24,1,2,400,2000,태클 + 2
184,240003,24,2,3,600,3000,태클 + 3
185,240004,24,3,4,800,4000,태클 + 4
186,240005,24,4,5,1000,5000,태클 + 5
187,240006,24,5,6,1200,6000,태클 + 6
188,240007,24,6,7,1400,7000,태클 + 7
189,240008,24,7,8,1600,8000,태클 + 8
190,240009,24,8,9,1800,9000,태클 + 9
191,240010,24,9,10,2000,10000,태클 + 10
192,241002,24,0,2,600,3000,태클 + 2
193,241005,24,1,5,1400,7000,태클 + 5
194,241008,24,2,8,2000,10000,태클 + 8
195,250001,25,0,1,200,1000,캐칭 + 1
196,250002,25,1,2,400,2000,캐칭 + 2
197,250003,25,2,3,600,3000,캐칭 + 3
198,250004,25,3,4,800,4000,캐칭 + 4
199,250005,25,4,5,1000,5000,캐칭 + 5
200,250006,25,5,6,1200,6000,캐칭 + 6
201,250007,25,6,7,1400,7000,캐칭 + 7
202,250008,25,7,8,1600,8000,캐칭 + 8
203,250009,25,8,9,1800,9000,캐칭 + 9
204,250010,25,9,10,2000,10000,캐칭 + 10
205,251002,25,0,2,600,3000,캐칭 + 2
206,251005,25,1,5,1400,7000,캐칭 + 5
207,251008,25,2,8,2000,10000,캐칭 + 8
208,260001,26,0,1,200,1000,펀칭 + 1
209,260002,26,1,2,400,2000,펀칭 + 2
210,260003,26,2,3,600,3000,펀칭 + 3
211,260004,26,3,4,800,4000,펀칭 + 4
212,260005,26,4,5,1000,5000,펀칭 + 5
213,260006,26,5,6,1200,6000,펀칭 + 6
214,260007,26,6,7,1400,7000,펀칭 + 7
215,260008,26,7,8,1600,8000,펀칭 + 8
216,260009,26,8,9,1800,9000,펀칭 + 9
217,260010,26,9,10,2000,10000,펀칭 + 10
218,261002,26,0,2,600,3000,펀칭 + 2
219,261005,26,1,5,1400,7000,펀칭 + 5
220,261008,26,2,8,2000,10000,펀칭 + 8
221,270001,27,0,1,200,1000,가드 + 1
222,270002,27,1,2,400,2000,가드 + 2
223,270003,27,2,3,600,3000,가드 + 3
224,270004,27,3,4,800,4000,가드 + 4
225,270005,27,4,5,1000,5000,가드 + 5
226,270006,27,5,6,1200,6000,가드 + 6
227,270007,27,6,7,1400,7000,가드 + 7
228,270008,27,7,8,1600,8000,가드 + 8
229,270009,27,8,9,1800,9000,가드 + 9
230,270010,27,9,10,2000,10000,가드 + 10
231,271002,27,0,2,600,3000,가드 + 2
232,271005,27,1,5,1400,7000,가드 + 5
233,271008,27,2,8,2000,10000,가드 + 8
234,280001,28,0,1,200,1000,이동 + 1
235,280002,28,1,2,400,2000,이동 + 2
236,280003,28,2,3,600,3000,이동 + 3
237,280004,28,3,4,800,4000,이동 + 4
238,280005,28,4,5,1000,5000,이동 + 5
239,280006,28,5,6,1200,6000,이동 + 6
240,280007,28,6,7,1400,7000,이동 + 7
241,280008,28,7,8,1600,8000,이동 + 8
242,280009,28,8,9,1800,9000,이동 + 9
243,280010,28,9,10,2000,10000,이동 + 10
244,281002,28,0,2,600,3000,이동 + 2
245,281005,28,1,5,1400,7000,이동 + 5
246,281008,28,2,8,2000,10000,이동 + 8
247,290001,29,0,1,200,1000,체질 + 1
248,290002,29,1,2,400,2000,체질 + 2
249,290003,29,2,3,600,3000,체질 + 3
250,290004,29,3,4,800,4000,체질 + 4
251,290005,29,4,5,1000,5000,체질 + 5
252,290006,29,5,6,1200,6000,체질 + 6
253,290007,29,6,7,1400,7000,체질 + 7
254,290008,29,7,8,1600,8000,체질 + 8
255,290009,29,8,9,1800,9000,체질 + 9
256,290010,29,9,10,2000,10000,체질 + 10
257,291002,29,0,2,600,3000,체질 + 2
258,291005,29,1,5,1400,7000,체질 + 5
259,291008,29,2,8,2000,10000,체질 + 8
260,300001,30,0,1,200,1000,패스 + 1
261,300002,30,1,2,400,2000,패스 + 2
262,300003,30,2,3,600,3000,패스 + 3
263,300004,30,3,4,800,4000,패스 + 4
264,300005,30,4,5,1000,5000,패스 + 5
265,300006,30,5,6,1200,6000,패스 + 6
266,300007,30,6,7,1400,7000,패스 + 7
267,300008,30,7,8,1600,8000,패스 + 8
268,300009,30,8,9,1800,9000,패스 + 9
269,300010,30,9,10,2000,10000,패스 + 10
270,301002,30,0,2,600,3000,패스 + 2
271,301005,30,1,5,1400,7000,패스 + 5
272,301008,30,2,8,2000,10000,패스 + 8
273,310001,31,0,1,200,1000,슈팅 + 1
274,310002,31,1,2,400,2000,슈팅 + 2
275,310003,31,2,3,600,3000,슈팅 + 3
276,310004,31,3,4,800,4000,슈팅 + 4
277,310005,31,4,5,1000,5000,슈팅 + 5
278,310006,31,5,6,1200,6000,슈팅 + 6
279,310007,31,6,7,1400,7000,슈팅 + 7
280,310008,31,7,8,1600,8000,슈팅 + 8
281,310009,31,8,9,1800,9000,슈팅 + 9
282,310010,31,9,10,2000,10000,슈팅 + 10
283,311002,31,0,2,600,3000,슈팅 + 2
284,311005,31,1,5,1400,7000,슈팅 + 5
285,311008,31,2,8,2000,10000,슈팅 + 8
286,320001,32,0,1,200,1000,방어 + 1
287,320002,32,1,2,400,2000,방어 + 2
288,320003,32,2,3,600,3000,방어 + 3
289,320004,32,3,4,800,4000,방어 + 4
290,320005,32,4,5,1000,5000,방어 + 5
291,320006,32,5,6,1200,6000,방어 + 6
292,320007,32,6,7,1400,7000,방어 + 7
293,320008,32,7,8,1600,8000,방어 + 8
294,320009,32,8,9,1800,9000,방어 + 9
295,320010,32,9,10,2000,10000,방어 + 10
296,321002,32,0,2,600,3000,방어 + 2
297,321005,32,1,5,1400,7000,방어 + 5
298,321008,32,2,8,2000,10000,방어 + 8
299,330001,33,0,1,200,1000,골키핑 + 1
300,330002,33,1,2,400,2000,골키핑 + 2
301,330003,33,2,3,600,3000,골키핑 + 3
302,330004,33,3,4,800,4000,골키핑 + 4
303,330005,33,4,5,1000,5000,골키핑 + 5
304,330006,33,5,6,1200,6000,골키핑 + 6
305,330007,33,6,7,1400,7000,골키핑 + 7
306,330008,33,7,8,1600,8000,골키핑 + 8
307,330009,33,8,9,1800,9000,골키핑 + 9
308,330010,33,9,10,2000,10000,골키핑 + 10
309,331002,33,0,2,600,3000,골키핑 + 2
310,331005,33,1,5,1400,7000,골키핑 + 5
311,331008,33,2,8,2000,10000,골키핑 + 8
312,410100,41,0,100,4000,16000,경험치 + 100%
313,410150,41,1,150,6000,24000,경험치 + 150%
314,410200,41,2,200,8000,32000,경험치 + 200%
315,410250,41,3,250,10000,40000,경험치 + 250%
316,420100,42,0,100,2000,8000,포인트 + 100%
317,420150,42,1,150,3000,12000,포인트 + 150%
318,420200,42,2,200,4000,16000,포인트 + 200%
319,510003,51,0,3,7500,30000,스킬슬롯 + 3
320,510006,51,1,6,12500,50000,스킬슬롯 + 6
321,910010,91,0,10,0,0,10 게임 사용
322,910050,91,1,50,0,0,50 게임 사용
323,910100,91,2,100,0,0,100 게임 사용
324,920007,92,0,7,0,0,7 일 사용
325,920030,92,1,30,0,0,30 일 사용
326,920999,92,2,0,0,0,영구 사용
327,921007,92,1,7,0,0,7 일 사용
328,921015,92,2,15,0,0,15 일 사용
329,921030,92,3,30,0,0,30 일 사용
